"","control.1","control.2","control.3","E2.treat.1","E2.treat.2","E2.treat.3"
"A1BG",4.71945850655526,4.66950729567078,5.14932051111332,4.64977771669246,4.57349357916682,3.79249272617134
"A1BG-AS1",12.8148800323982,14.4790923896768,14.8987006788212,14.7015030748365,12.3452344164923,13.8849113859
"A2M-AS1",2.48029936110933,1.66509562481284,1.95674179422306,1.57271893358716,1.88696588231358,1.84923199044718
"A4GALT",5.40843055130785,6.00882334171588,6.28217102355824,6.35925481841763,7.99561814539654,6.83275549012687
"AAAS",97.0417125034026,99.3989692551314,94.507195780633,100.243737245164,96.7149970867166,95.3138047957606
"AACS",39.7536869822246,40.903436000837,42.9110042592776,41.7112412820942,41.5452318834804,38.8652147144831
"AADAT",11.2991415339425,13.574149115322,13.1822605084501,13.3681109354908,12.0893746358396,13.4147676595151
"AAED1",15.0884877800818,13.3207649985027,14.1777958072653,13.4364900195598,14.3281477165506,12.6938806123917
"AAGAB",108.788685866434,112.285361481944,107.655127485676,108.244090081238,108.196704743506,102.052531540611
"AAK1",74.3056350265671,75.6894554670356,77.6517533075888,81.6788159204286,79.3485144749153,95.7526056070532
"AAMDC",11.2646929317049,9.62859643913509,11.1911899108196,11.0774116191791,11.1618829309736,11.8162789898066
"AAMP",141.652652401133,144.682330703846,131.616632264056,142.296873947603,145.680162609125,135.370050283752
"AAR2",66.7958397387638,65.7350794491328,63.7829167309903,65.8490579584536,64.3807173067329,63.344031401589
"AARD",1.92912172530726,1.55650243189026,1.57912495674142,1.23082351324212,1.66308857424248,1.62983158480091
"AARS",471.980299257764,478.316817092974,458.49549830953,468.054830452352,475.003682781718,457.042387876285
"AARS2",54.8077261600687,50.2062528612044,55.6126615200238,60.4812998590365,54.6260631693492,59.9903394867102
"AASDH",45.3343605447206,49.2651118558754,48.8155584453542,46.2584503726831,44.1677946351705,47.8606313459804
"AASDHPPT",174.654413344782,170.418917426496,158.73638695592,158.981370460441,162.087171043479,157.372776678564
"AASS",73.6166629818145,74.4949303448873,79.3681934779599,81.8839531726357,76.9178465587147,85.9109302680631
"AATF",116.539621369901,119.995478179447,114.761189791012,119.11636444821,122.58881740522,114.965812558648
"AATK",9.16332819520948,9.80958509400605,11.1568611074122,10.256862610351,9.17896963091523,10.0924186597287
"ABAT",33.0362095458868,32.8313419935922,33.0586376813475,33.7792675300894,30.5752437879964,32.5652887809258
"ABCA1",63.247633708288,65.1921134845199,68.2799899773626,62.2933455868652,65.4361389019253,71.5245322406859
"ABCA11P",11.3335901361801,12.2710308002511,13.5598773459317,12.4449933005592,12.1213571084212,12.9132810180379
"ABCA17P",1.2745982827923,0.796350081432225,1.13285051244493,0.888928092897089,0.639649451631723,1.06565911313905
"ABCA2",69.3105877021108,69.0652706987585,74.3905169838837,79.1829793519099,74.6151085328405,80.5826347023678
"ABCA3",206.0715385855,212.046308046817,228.183556249135,233.548761637693,243.514546236197,247.013513842614
"ABCA4",1.30904688502993,1.01353646727738,1.51046734992657,1.16244442917312,1.11938654035552,1.253716603693
