"GeneName","rank"
"ACER2",-5.18528163999627
"BPTF",-5.17290568423767
"NSD1",-5.16503317148748
"CUEDC1",-5.16483205769961
"GABBR2",-5.15148889215117
"LMTK2",-5.14045662468856
"CEP250",-5.13679812297403
"HOXD11",-5.12666924136208
"FLNC",-5.1059720615778
"POU2F1",-5.10294122383044
"AKAP13",-5.09896402658619
"THSD4",-5.08122551592886
"IGF1R",-5.07764047580896
"IGF2R",-5.07683757235084
"FAM222A",-5.0467584447397
"CACNA1H",-5.04309948915893
"ADAMTS17",-5.03223607465876
"UTRN",-5.03149446224888
"LRP4",-5.03044819523099
"GALNT10",-5.03035606347494
"LRRFIP1",-4.99298375516481
"PLXNA1",-4.98621959015306
"KDM4B",-4.97926966005065
"SIN3B",-4.96965795323758
"IQSEC1",-4.95845016790663
"KIF1A",-4.95726788436399
"PMEPA1",-4.95386637621928
"PIEZO1",-4.95348537589292
"QSOX1",-4.94197607580524
"ADCY1",-4.92923886227634
"CHD7",-4.91811291741432
"PTPRH",-4.91804990897405
"RPTOR",-4.90998930287226
"PPRC1",-4.90392482250026
"CACHD1",-4.89943688043485
"NOTCH2",-4.87707976724187
"NPC1",-4.84474158479956
"MAP3K5",-4.82916288317836
"PPP1R13B",-4.81633346425033
"RAI1",-4.8092915488076
"SDK1",-4.79395702274687
"MCF2L",-4.7761845754502
"USF3",-4.76922482619402
"NCOR1",-4.768921063779
"FAT3",-4.76026320542859
"PPM1L",-4.75914978441786
"RCC2",-4.75187198572305
"ZZEF1",-4.73503844907548
"PCNX3",-4.72763043659719
"OBSCN",-4.7268456478624
"EIF4G1",-4.71364546064755
"ZSCAN2",-4.7031224136762
"CNNM4",-4.69959755597798
"UPF2",-4.6913170286769
"GCN1",-4.67732317344417
"ANKRD11",-4.6723567245203
"PCLO",-4.62655896963176
"AGAP1",-4.62505881188597
"SLC9A1",-4.62326216502664
"AP3D1",-4.62027444608388
"MEGF8",-4.61269051259855
"CEP350",-4.5970681319476
"CHPT1",-4.59377269169816
"FHL2",-4.59332139574526
"SLC35F6",-4.58301098261481
"LONP1",-4.57183881121214
"POM121",-4.55445822416158
"ALDH1L2",-4.55297011050114
"CHD3",-4.54420162815021
"SBF1",-4.54138476794617
"ZFHX4",-4.52492629548726
"RANBP2",-4.52421351772404
"SLC6A9",-4.5171636248778
"NCOA6",-4.51445167635559
"IRAK1",-4.51374892418338
"DEPTOR",-4.49860744150903
"TNRC6C",-4.49803394111417
"DYNC2H1",-4.49369288542055
"LRRC16B",-4.49153258079286
"LTBP1",-4.48012214918646
"ACTN4",-4.4722125116054
"CPM",-4.47039815337994
"MICAL3",-4.4689868029412
"RYR2",-4.46517627641598
"MMP17",-4.46198856859179
"NOTCH1",-4.46028133602164
"C3",-4.45572628961372
"HERC1",-4.43240039225674
"INHBB",-4.43120293862358
"NAV2",-4.43039185343383
"CHPF",-4.42995834534366
"MED12L",-4.42703310032396
"ITPK1",-4.41029187271495
"CREB5",-4.40052045580434
"ABCC1",-4.39868937943268
"CACNB4",-4.39684589257509
"NFAT5",-4.39557375756752
"NF1",-4.39434464502498
"PRRC2A",-4.37851493575845
"ARHGAP35",-4.37603695422124
"PRRC2B",-4.35030439029436
"HK2",-4.34744247340244
"TOM1L2",-4.32942756034222
"VPS13D",-4.32164121749448
"HELZ",-4.30957885778656
"SYNDIG1",-4.3056189020941
"MARVELD2",-4.29552629560849
"LPIN1",-4.28654316963328
"TMEM131",-4.28384703709271
"FOXO3",-4.27102187478704
"TENM1",-4.261618095226
"SH3BP2",-4.25801357431489
"MAP2K5",-4.23336658625031
"ZNF142",-4.22939775243602
"MYH10",-4.22634271171719
"CLUH",-4.22077656836997
"ALOXE3",-4.19285215340205
